0	"2.6 terabyte leak of Panamanian shell company data reveals ""how a global industry led by major banks, legal firms, and asset management companies secretly manages the estates of politicians, Fifa officials, fraudsters and drug smugglers, celebrities and professional athletes."""	154759
1	A biotech startup has managed to 3-D print fake rhino horns that carry the same genetic fingerprint as the actual horn. The company plans to flood Chinese rhino horn market at one-eighth of the price of the original, undercutting the price poachers can get and forcing them out eventually.	106040
2	'Shootings' reported in central Paris: Reports of shooting and casualties in central Paris	96991
3	Fidel Castro is dead at 90.	95051
4	Former French President Nicolas Sarkozy has proposed that Europe should impose a carbon tax on American imports if Donald Trump pulls the United States out of the Paris climate pact.	93490
5	US appeals court upholds suspension of Trump travel ban	88813
6	NASA announces discovery of flowing water in Mars	86746
7	Scientists slam Donald Trump's environment chief over climate denial: 'It's like disputing gravity'	84267
8	Costa Rica completes 2016 without having to burn a single fossil fuel for more than 250 days. 98.2% of Costa Rica's electricity came from renewable sources in 2016.	83255
9	President Donald Trump signed an executive order formally withdrawing the United States from the 12-nation Trans-Pacific Partnership trade deal	82147
10	North Korea bans sarcasm because Kim Jong-un fears people only agree with him ‘ironically’	81643
11	The Prime Minister of Iceland has resigned	80777
12	Japan firm considers 3-day weekends as nation rethinks culture of long work hours	80195
13	Australians petition to put Steve Irwin on their money.	80186
14	"""It’s time to pay a living wage, to pay your taxes, and to give your workers the benefits – and peace of mind – that come with stable, full-time contracts."" Canada's PM Trudeau blames corporate elites for rise in global public anger, points to record profits but overworked and underpaid workers."	77735
15	Twitter has forced 30 websites that archive politician's deleted tweets to shut down, removing an effective tool to keep politicians honest	77475
16	Canada's immigration website keeps crashing for 'some reason'	76378
17	President of South Korea Impeached.	76280
18	Putin says Russia ready to fully restore ties with U.S	75832
19	China bans all coal imports from North Korea, severing major financial lifeline for regime	75118
20	Hundreds of thousands of leaked emails reveal massively widespread corruption in global oil industry	74985
21	Trumps Immigration Ban Halted By Federal Court	73820
22	Iceland does what the US won’t: 26 top bankers sent to prison for role in financial crisis	73205
23	DNA Test Shows Subway’s Oven-Roasted Chicken Is Only 50 Percent Chicken	72256
24	Google will soon ban fake news sites from using its ad network - Cutting off their revenue streams	71617
25	"Feeding cows seaweed could slash global greenhouse gas emissions, researchers say: ""They discovered adding a small amount of dried seaweed to a cow's diet can reduce the amount of methane a cow produces by up to 99 per cent."""	71384
26	Fox New's fake expert on violent immigrants in Sweden turns out to be a violent Swedish immigrant in the US, Swedish media reports.	71356
27	State Dept reverses visa ban, allows travelers with visas into U.S. - official	70401
28	With only days until Donald Trump takes office, the Obama announced new rules that will let the NSA share vast amounts of private data gathered without warrant, court orders or congressional authorization with 16 other agencies, including the FBI, DEA and DHS.	69595
29	Iran will ban Americans from entering the country in response to Trump’s “insulting” order restricting arrivals from Iran and six other Muslim states	69469
30	Mexican president says he will not go to U.S. for meeting with Trump	69450
31	Up to 20 countries have indicated support for the Netherlands’ plan to set up an international safe abortion fund to plug a $600m funding gap caused by Donald Trump’s reinstatement of the “global gag rule”, the Dutch international development minister, Lilianne Ploumen, said on Wednesday.	67807
32	World of chess in uproar after women told they must play at next year’s world championships in Iran wearing hijabs	67048
33	“I will NOT wear a hijab and support women’s oppression”: US chess champion boycotts world championship in Iran	66905
34	Costa Rica has been running on 100% renewable energy for 2 months straight: 76 days and zero fossil fuels.	66799
35	Rio 2016: Swimmers need to ingest only three teaspoons of water to be almost certain of contracting a virus | Olympics | Sport	66513
36	Russia considers banning sale of cigarettes to anyone born after 2015	66410
37	ISIS Twitter accounts have been hijacked with gay porn	66160
38	Russia Bans Scientology	65940
39	Five HIV patients left 'virus-free' with no need for daily drugs in early vaccine trials	65783
40	Trump's Second Travel Ban Blocked by U.S. Judge	65651
41	Gravitational waves from black holes detected	65400
42	Donald Trump lifts sanctions on Russia that were imposed by Obama in response to cyber-security concerns	65361
43	Sweden asks the U.S. to explain Trump comment on Sweden	64758
44	Intelligence chiefs allege Russians have compromising personal information on Donald Trump: The claims allege the now-President-elect had been in contact with Russian intermediaries for five years	64068
45	“Canada will welcome you,” Trudeau invites refugees as Trump bans them	63984
46	PM Justin Trudeau of Canada announces $650 million investment in women health and reproductive rights over next three years.	63240
47	China scraps construction of 85 planned coal power plants: Move comes as Chinese government says it will invest 2.5 trillion yuan into the renewable energy sector	63138
48	The police officer who leaked the footage of the surfers paradise police brutality, where the victims blood was washed away by officers, has been criminally charged for bringing it to the publics view. Officers who did the bashing get nothing.	62150
49	Netherlands will once again need to close prisons due to falling crime rate and lack of prisoners.	62052
50	"""After 16 appearances in the Olympics, the tiny nation of Fiji has its first medal. And it is gold."""	61871
51	Donald Trump's Great Wall on Mexican border will damage environment in 'insane act of self-sabotage' - Making the cement needed for a 1,000-mile concrete wall would emit nearly two million tons of carbon dioxide and cut off endangered animals from part of their territory	61803
52	Trump bid to reinstate travel ban fails	61525
53	Pope suggests 'better to be atheist than hypocritical Catholic'	61324
54	EU will remain top investor against climate change, in defiance of Donald Trump's policies - 'We, Europeans, must lead the free world against climate sceptics'	61292
55	The United States will normalize diplomatic relations with Cuba, open embassy in Havana	61251
56	France decrees new rooftops must be covered in plants or solar panels. All new buildings in commercial zones across the country must comply with new environmental legislation	61181
57	UK government finally concedes cannabis has a medicinal effect	60769
58	Michael Flynn resigns: Trump's national security adviser quits over Russia links	60741
59	Paris makes all public transport free in battle against 'worst air pollution for 10 years'	60607
60	Kaziranga's (Indian National Park) ruthless rangers have reduced rhino poaching by simply gunning down poachers at sight	59335
61	"Oil giant Shell warns public faith in fossil fuel industry is 'disappearing' and calls for carbon taxes - ""Shell is to increase its spending on renewable energy to $1bn a year"""	59218
62	"The President of Colombia, Juan Manuel Santos, has used his Nobel Peace Prize acceptance speech to call for the world to ""rethink"" the war on drugs."	58209
63	Investors with $2.8 trillion in assets unite against Donald Trump’s climate change denial | As US President ramps up support for fossil fuels, some of the world's biggest funds demand end to coal and oil subsidies	57986
64	France Rejects Fear, Renews Commitment To Take In 30,000 Syrian Refugees	57905
65	China, Japan, Russia, & South Korea have just signed a Memorandum of Understanding that seeks to create an 'Asian Super Grid'. It will transmit electrical power from various renewable sources to areas all over the world.	57558
66	Martin Schkreli - Turing CEO who increased the price of Aids drug by 5000% - has been arrested	57225
67	Petition calling on UK to cancel Trump state visit reaches 100,000 signature in less than 5 hours.	56951
68	7.3 Magnitude Earthquake hits Fukushima, Japan. 3 Meter Tsunami warning at this time (22 November, 2016, 5:59am)	56129
69	Truck crashes into Bastille Day crowd in Nice, France	55986
70	Canada Student Loan Repayment Relief: As of November 1, no single Canadian will have to repay their Canada Student Loan until she or he is earning at least $25,000 per year	55617
71	German anti-vaccer wagers € 100,000 to anyone proving the existance of the measles virus. Researcher sends him articles proving the virus' existance and takes him to court where he's ordered to pay the full amount.	54855
72	SpaceX’s Falcon 9 rocket successfully lands upright.	54708
73	Pope Francis: There is 'no point' going to church if you don't really believe in it. Pope speaks out against 'Christian parrots' who talk about religion but don't do good deeds, and says forgiveness can be difficult but is necessary in all cases, including domestic violence.	54690
74	French newspaper Le Monde to stop publishing pictures of terrorists to avoid 'glorifying them in death	54476
75	President Trump signs an executive order to move forward construction of Dakota Access and Keystone XL pipelines.	54333
76	BBC forecasts UK votes to Leave the European Union	54309
77	More than 140,000 families cut off from childcare payments for not vaccinating their kids in Australia	54163
78	Saudi Arabia strips religious police of arresting power	54128
79	Donald Trump admits ‘Sweden attack’ comments were based on debunked 'Fox News' report	54119
80	NASA officially announces Manned Mars Mission, test launch will begin tomorrow testing orbiter.	53906
81	David Cameron to Resign as PM After EU Referendum	53836
82	Munich mayor extends Oktoberfest invite to US President Barack Obama -- The outgoing US president has said he would like to visit Germany's famed beer festival as a private citizen. Now, the mayor of Munich has welcomed him to do just that	53303
83	Judge presiding over 'El Chapo's' case shot, killed while jogging outside home	52727
84	"The Dalai Lama on terrorist attacks: ""We cannot solve this problem only through prayers. ... I believe in praying. But humans have created this problem, and now we are asking God to solve it. It is illogical. So let us work for peace ... and not expect help from God, Buddha or the governments."""	52627
85	Donald Trump's claims his team had no contact with Russia during campaign contradicted by Moscow officials	51944
86	British officials drop plans for Donald Trump to address parliament	51896
87	"Pope Francis refused to equate Islam with violence saying Catholics could be just as deadly & warning Europe was pushing its young to terrorism. ""I don't think it is right to equate Islam with violence. In almost every religion there's always a small group of fundamentalists. We have them too."""	51871
88	Haitians are urging people not to give money to the Red Cross	51610
89	"Indian Prime Minister: ""I want to tell the people of Pakistan, India is ready to fight you. If you have the strength, come forward to fight against poverty. Let's see who wins. Let's see who is able to defeat poverty and illiteracy first, Pakistan or India."""	51501
90	In Big Win For Big Cats, China Approves National Park Larger Than Yellowstone	51189
91	Shell launches bid to leave massive, sludgy oil rig remnants in North Sea for 500 years - 'Oil and gas companies operating in the North Sea have a legal, as well as moral, obligation to clean-up their mess,' says leading environmentalist	51134
92	South Korea: President Park Geun-hye Impeached	51027
93	U.S. expels 35 Russian diplomats, closes two compounds: official	50998
94	Canadians elect Liberal majority. Ending Stephen Harpers 9 year rule.	50955
95	Mexico said it will not pay for a border wall	50901
96	Body of Russian soldier who called in an airstrike on himself after being surrounded by IS fighters has been recovered. He was posthumously awarded the Hero of Russia medal.	50765
97	US student declared dead actually 'kidnapped to teach English to Kim Jong-un'	50685
98	UK admits it spied illegally for 17 years, is sorry, won't stop	50337
99	President Vladimir Putin on Thursday accused American politicians of whipping up hysteria about a mythical Russian threat as a ploy to distract voters from their own failings in the run-up to the U.S. presidential election.	50106
100	Uber drivers in the UK have won an employment tribunal case which ruled they are workers rather than self-employed. This means they are entitled to Holiday Pay and a minimum wage	49622
101	14 year old Boy from India made a Anti-Landmine Drone which can detect and defuse has signed a 5 crore rupees deal (50 million rupees) for production with the Indian Government	49101
102	Israel officially decriminalizes marijuana use	48881
